"","Group.1","Group.2","x"
"242",2122,"CLAY",0.0191682910981157
"243",1011,"CLEVELAND",0.0347023298946206
"244",1112,"CLEVELAND",0.0715838435667301
"245",1213,"CLEVELAND",0.0495216457125106
"246",1314,"CLEVELAND",0.0467161191750023
"247",1415,"CLEVELAND",0.0945501846741815
"248",1516,"CLEVELAND",0.0577597492798327
"249",1617,"CLEVELAND",0.0370314502756383
"250",1718,"CLEVELAND",0.0277712662228009
"251",1920,"CLEVELAND",0.0299518794416946
"252",2021,"CLEVELAND",0.0167979116660522
"253",2122,"CLEVELAND",0.0659233346771414
"254",1011,"COLUMBUS",0.0636719917192931
"255",1112,"COLUMBUS",0.0292248676874135
"256",1213,"COLUMBUS",0.0353969469103306
"257",1314,"COLUMBUS",0.0590403814385715
"258",1415,"COLUMBUS",0.0732742005089425
"259",1516,"COLUMBUS",0.0444027635997119
"260",1617,"COLUMBUS",0.0114994267302868
"261",1718,"COLUMBUS",0.0723314839181219
"262",1920,"COLUMBUS",0.0539990297021508
"263",2021,"COLUMBUS",0.0163625698418325
"264",2122,"COLUMBUS",0.0256393917703951
"265",1011,"CRAVEN",0.0207229372098118
"266",1112,"CRAVEN",0.0242984483288971
"267",1213,"CRAVEN",0.0182160774798613
"268",1314,"CRAVEN",0.0222230383716291
"269",1415,"CRAVEN",0.00396929142180008
"270",1516,"CRAVEN",0.00536862104563792
"271",1617,"CRAVEN",0.00933451474315566
"272",1718,"CRAVEN",0.0089374971147417
"273",1920,"CRAVEN",0.0248616099075669
"274",2021,"CRAVEN",0.0131318481543792
"275",2122,"CRAVEN",0.0128406371538586
"276",1011,"CUMBERLAND",0.00817069901310861
"277",1112,"CUMBERLAND",0.0157714617695596
"278",1213,"CUMBERLAND",0.00337325317179569
"279",1314,"CUMBERLAND",0.0106050650341155
"280",1415,"CUMBERLAND",0.00970910535710163
"281",1516,"CUMBERLAND",0.00354408271690553
"282",1617,"CUMBERLAND",0.0127005216324874
"283",1718,"CUMBERLAND",0.00153024998045444
"284",1920,"CUMBERLAND",0.00290332020899439
"285",2021,"CUMBERLAND",0.00452313842269501
"286",2122,"CUMBERLAND",0.0059514277323788
"287",1011,"CURRITUCK",0
"288",1112,"CURRITUCK",0.0350708879650357
"289",1213,"CURRITUCK",0.036865145979395
"290",1314,"CURRITUCK",0
"291",1415,"CURRITUCK",0.0123550556586271
"292",1516,"CURRITUCK",0.0191303517317427
"293",1617,"CURRITUCK",0
"294",1718,"CURRITUCK",0
"295",1920,"CURRITUCK",0.022716049382716
"296",2021,"CURRITUCK",0
"297",2122,"CURRITUCK",0.150681725681726
"298",1011,"DARE",0.016635297101715
"299",1112,"DARE",0.0430629755544763
"300",1213,"DARE",0.0265963203463203
"301",1314,"DARE",0
"302",1415,"DARE",0.00120405855836013
"303",1516,"DARE",0.00762763059619525
"304",1617,"DARE",0.0116609408033827
"305",1718,"DARE",0.0236583114167193
"306",1920,"DARE",0.0433823953823954
"307",2021,"DARE",0
"308",2122,"DARE",0.017786286112078
"309",1011,"DAVIDSON",0.0150943987851062
"310",1112,"DAVIDSON",0.00697260297012901
"311",1213,"DAVIDSON",0.0128425696944516
"312",1314,"DAVIDSON",0.0229756055916019
"313",1415,"DAVIDSON",0.0161541324133987
"314",1516,"DAVIDSON",0.00858028083028083
"315",1617,"DAVIDSON",0.0195757485487831
"316",1718,"DAVIDSON",0.0156673051476372
"317",1920,"DAVIDSON",0.0168905365187372
"318",2021,"DAVIDSON",0.00801274212866289
"319",2122,"DAVIDSON",0.0291338874377727
"320",1011,"DAVIE",0
"321",1112,"DAVIE",0.0375671765192228
"322",1213,"DAVIE",0.0157012195121951
"323",1314,"DAVIE",0.0221691812038347
"324",1415,"DAVIE",0.0679710144927536
"325",1516,"DAVIE",0.0550675675675676
"326",1617,"DAVIE",0.0195467058296673
"327",1718,"DAVIE",0.00699912510936133
"328",1920,"DAVIE",0.0106729849578298
"329",2021,"DAVIE",0
"330",2122,"DAVIE",0
"331",1011,"DUPLIN",0.0165158663799968
"332",1112,"DUPLIN",0.0144930656079498
"333",1213,"DUPLIN",0.00978465186319179
"334",1314,"DUPLIN",0.00264484324803368
"335",1415,"DUPLIN",0.017681785401354
"336",1516,"DUPLIN",0.0208893062732308
"337",1617,"DUPLIN",0.0314786686171227
"338",1718,"DUPLIN",0.029570251337456
"339",1920,"DUPLIN",0.0142240550521432
"340",2021,"DUPLIN",0.00656880346407038
"341",2122,"DUPLIN",0.00654049069729439
"342",1011,"DURHAM",0.0271550657693096
"343",1112,"DURHAM",0.0397005454557362
"344",1213,"DURHAM",0.0152226145826482
"345",1314,"DURHAM",0.0204970187502411
"346",1415,"DURHAM",0.0295701678504411
"347",1516,"DURHAM",0.0434736916566992
"348",1617,"DURHAM",0.045846190356401
"349",1718,"DURHAM",0.0328307967741252
"350",1920,"DURHAM",0.0513435644819264
"351",2021,"DURHAM",0.0323810436319494
"352",2122,"DURHAM",0.034327911234589
"353",1011,"EDGECOMBE",0.0483745455624838
"354",1112,"EDGECOMBE",0.0654390367673873
"355",1213,"EDGECOMBE",0.0560805575847084
"356",1314,"EDGECOMBE",0.0543801907830138
"357",1415,"EDGECOMBE",0.0431024027183999
"358",1516,"EDGECOMBE",0.0400440240997442
"359",1617,"EDGECOMBE",0.013931745223136
"360",1718,"EDGECOMBE",0.0607965458461908
"361",1920,"EDGECOMBE",0.0299141811964673
"362",2021,"EDGECOMBE",0.0304764819916335
"363",2122,"EDGECOMBE",0.0611951551106167
"364",1011,"FORSYTH",0.0638712198462732
"365",1112,"FORSYTH",0.0321730883675058
"366",1213,"FORSYTH",0.0812103223124002
"367",1314,"FORSYTH",0.0862682540452406
"368",1415,"FORSYTH",0.0977140169073303
"369",1516,"FORSYTH",0.0778522433127292
"370",1617,"FORSYTH",0.0739774341941458
"371",1718,"FORSYTH",0.0701243149555685
"372",1920,"FORSYTH",0.0331574303588631
"373",2021,"FORSYTH",0.0254011856469361
"374",2122,"FORSYTH",0.0423174048517964
"375",1011,"FRANKLIN",0.0106221175547051
"376",1112,"FRANKLIN",0.00118626584143826
"377",1213,"FRANKLIN",0.00719480519480519
"378",1314,"FRANKLIN",0.0234095229166207
"379",1415,"FRANKLIN",0.00297432814106347
"380",1516,"FRANKLIN",0.0247769654754061
"381",1617,"FRANKLIN",0.0116878446415728
"382",1718,"FRANKLIN",0.0320405419381529
"383",1920,"FRANKLIN",0.02140598875209
"384",2021,"FRANKLIN",0.0144753344481605
"385",2122,"FRANKLIN",0.00650583261996413
"386",1011,"GASTON",0.026787039473569
"387",1112,"GASTON",0.0278580524442462
"388",1213,"GASTON",0.0161517216301107
"389",1314,"GASTON",0.0206653866830322
"390",1415,"GASTON",0.0373170508971145
"391",1516,"GASTON",0.0263371830486308
"392",1617,"GASTON",0.0218377432255718
"393",1718,"GASTON",0.014945468923532
"394",1920,"GASTON",0.0157132308263857
"395",2021,"GASTON",0.00118549696115931
"396",2122,"GASTON",0.0170314969755703
"397",1011,"GATES",0
"398",1112,"GATES",0
"399",1213,"GATES",0
"400",1314,"GATES",0.0281986531986532
"401",1415,"GATES",0
"402",1516,"GATES",0.035158891142664
"403",1617,"GATES",0
"404",1718,"GATES",0
